name,type,period_name,period_start,period_end
maxakalisaurus,sauropod,Late Cretaceous,80,80
megalosaurus,large theropod,Mid Jurassic,170,155
melanorosaurus,sauropod,Late Triassic,227,221
metriacanthosaurus,large theropod,Late Jurassic,159,154
microceratus,ceratopsian,Late Cretaceous,86,66
micropachycephalosaurus,ceratopsian,Late Cretaceous,84,71
microraptor,small theropod,Early Cretaceous,125,122
minmi,armoured dinosaur,Early Cretaceous,121,112
monolophosaurus,large theropod,Mid Jurassic,180,159
mononykus,small theropod,Late Cretaceous,81,68
mussaurus,sauropod,Late Triassic,221,210
muttaburrasaurus,euornithopod,Early Cretaceous,110,100
nanshiungosaurus,large theropod,Late Cretaceous,84,71
nedoceratops,ceratopsian,Late Cretaceous,67,65
nemegtosaurus,sauropod,Late Cretaceous,72,68
neovenator,large theropod,Early Cretaceous,127,121
neuquenosaurus,sauropod,Late Cretaceous,71,65
nigersaurus,sauropod,Early Cretaceous,121,99
nipponosaurus,euornithopod,Late Cretaceous,89,84
noasaurus,small theropod,Late Cretaceous,84,65
nodosaurus,armoured dinosaur,Early Cretaceous,110,100
nomingia,small theropod,Late Cretaceous,72,68
nothronychus,large theropod,Late Cretaceous,94,89
nqwebasaurus,small theropod,Mid Jurassic,159,132
omeisaurus,sauropod,Mid Jurassic,169,159
opisthocoelicaudia,sauropod,Late Cretaceous,72,68
ornitholestes,small theropod,Late Jurassic,150,144
ornithomimus,large theropod,Late Cretaceous,74,65
orodromeus,euornithopod,Late Cretaceous,74,74
oryctodromeus,euornithopod,Late Cretaceous,99,94
othnielia,euornithopod,Late Jurassic,154,142
ouranosaurus,euornithopod,Early Cretaceous,115,100
oviraptor,small theropod,Late Cretaceous,85,75
pachycephalosaurus,euornithopod,Late Cretaceous,76,65
pachyrhinosaurus,ceratopsian,Late Cretaceous,76,74
panoplosaurus,armoured dinosaur,Late Cretaceous,79,75
pantydraco,euornithopod,Early Jurassic,,
paralititan,sauropod,Late Cretaceous,99,94
parasaurolophus,euornithopod,Late Cretaceous,76,74
parksosaurus,euornithopod,Late Cretaceous,76,74
patagosaurus,sauropod,Mid Jurassic,164,159
pelicanimimus,small theropod,Early Cretaceous,127,121
pelorosaurus,sauropod,Early Cretaceous,125,125
pentaceratops,ceratopsian,Late Cretaceous,76,74
piatnitzkysaurus,large theropod,Late Jurassic,164,159
pinacosaurus,armoured dinosaur,Late Cretaceous,81,75
plateosaurus,sauropod,Late Triassic,210,210
podokesaurus,small theropod,Mid Jurassic,195,180
poekilopleuron,large theropod,Mid Jurassic,169,164
polacanthus,armoured dinosaur,Early Cretaceous,125,125
prenocephale,euornithopod,Late Cretaceous,80,65
probactrosaurus,euornithopod,Early Cretaceous,121,99
proceratosaurus,small theropod,Mid Jurassic,169,164
procompsognathus,small theropod,Late Triassic,221,210
prosaurolophus,euornithopod,Late Cretaceous,77,75
protarchaeopteryx,small theropod,Early Cretaceous,122,120
protoceratops,ceratopsian,Late Cretaceous,74,70
protohadros,euornithopod,Late Cretaceous,99,94
psittacosaurus,ceratopsian,Early Cretaceous,120,100
quaesitosaurus,sauropod,Late Cretaceous,86,84
rebbachisaurus,sauropod,Early Cretaceous,112,99
rhabdodon,euornithopod,Late Cretaceous,76,70
rhoetosaurus,sauropod,Mid Jurassic,177,169
rinchenia,small theropod,Late Cretaceous,72,68
riojasaurus,sauropod,Late Triassic,221,210
rugops,large theropod,Late Cretaceous,95,95
saichania,armoured dinosaur,Late Cretaceous,80,80
saltasaurus,sauropod,Late Cretaceous,70,65
saltopus,small theropod,Late Triassic,221,210
sarcosaurus,small theropod,Early Jurassic,202,195
saurolophus,euornithopod,Late Cretaceous,74,70
sauropelta,armoured dinosaur,Early Cretaceous,121,94
saurophaganax,large theropod,Late Jurassic,154,142
saurornithoides,small theropod,Late Cretaceous,85,80
scelidosaurus,armoured dinosaur,Early Jurassic,208,194
scutellosaurus,armoured dinosaur,Early Jurassic,205,202
secernosaurus,euornithopod,Late Cretaceous,71,65
segisaurus,small theropod,Mid Jurassic,195,180
segnosaurus,large theropod,Late Cretaceous,97,88
shamosaurus,armoured dinosaur,Early Cretaceous,121,99
shanag,small theropod,Early Cretaceous,126,142
shantungosaurus,euornithopod,Late Cretaceous,78,74
shunosaurus,sauropod,Mid Jurassic,170,160
shuvuuia,small theropod,Late Cretaceous,75,81
silvisaurus,armoured dinosaur,Early Cretaceous,121,112
sinocalliopteryx,small theropod,Early Cretaceous,125,125
sinornithosaurus,small theropod,Early Cretaceous,122,120
sinosauropteryx,small theropod,Early Cretaceous,122,120
sinovenator,small theropod,Early Cretaceous,127,121
sinraptor,large theropod,Mid Jurassic,169,142
sonidosaurus,sauropod,Late Cretaceous,89,65
spinosaurus,large theropod,Late Cretaceous,95,70
staurikosaurus,large theropod,Late Triassic,227,221
stegoceras,euornithopod,Late Cretaceous,76,74
stegosaurus,armoured dinosaur,Late Jurassic,155,145
stenopelix,ceratopsian,Early Cretaceous,127,121
struthiomimus,small theropod,Late Cretaceous,76,74
struthiosaurus,armoured dinosaur,Late Cretaceous,83,75
styracosaurus,ceratopsian,Late Cretaceous,76,70
suchomimus,large theropod,Early Cretaceous,121,112
supersaurus,sauropod,Early Cretaceous,154,142
talarurus,armoured dinosaur,Late Cretaceous,99,89
tanius,euornithopod,Late Cretaceous,89,65
tarbosaurus,large theropod,Late Cretaceous,74,70
tarchia,armoured dinosaur,Late Cretaceous,75,68
telmatosaurus,euornithopod,Late Cretaceous,84,65
tenontosaurus,euornithopod,Early Cretaceous,120,110
thecodontosaurus,sauropod,Late Triassic,227,205
therizinosaurus,large theropod,Late Cretaceous,85,70
thescelosaurus,euornithopod,Late Cretaceous,76,67
torosaurus,ceratopsian,Late Cretaceous,70,65
torvosaurus,large theropod,Late Jurassic,155,144
triceratops,ceratopsian,Late Cretaceous,68,66
troodon,small theropod,Late Cretaceous,74,65
tsagantegia,armoured dinosaur,Late Cretaceous,99,84
tsintaosaurus,euornithopod,Late Cretaceous,84,71
tuojiangosaurus,armoured dinosaur,Late Jurassic,157,154
tylocephale,euornithopod,Late Cretaceous,75,72
tyrannosaurus,large theropod,Late Cretaceous,68,66
udanoceratops,ceratopsian,Late Cretaceous,81,75
unenlagia,small theropod,Late Cretaceous,94,86
urbacodon,small theropod,Late Cretaceous,95,95
utahraptor,large theropod,Early Cretaceous,112,100
valdosaurus,euornithopod,Early Cretaceous,142,121
velociraptor,small theropod,Late Cretaceous,74,70
vulcanodon,sauropod,Early Jurassic,205,202
yandusaurus,euornithopod,Mid Jurassic,169,159
yangchuanosaurus,large theropod,Late Jurassic,160,144
yimenosaurus,sauropod,Early Jurassic,195,190
yingshanosaurus,armoured dinosaur,Late Jurassic,159,142
yinlong,ceratopsian,Mid Jurassic,159,154
yuanmousaurus,sauropod,Mid Jurassic,180,159
yunnanosaurus,sauropod,Early Jurassic,205,190
zalmoxes,euornithopod,Late Cretaceous,69,69
zephyrosaurus,euornithopod,Early Cretaceous,120,110
zuniceratops,ceratopsian,Late Cretaceous,94,89
,,,,
