name,type,period_name,period_start,period_end,lived_name
parasaurolophus,euornithopod,Late Cretaceous,76.0,74.0,USA
parksosaurus,euornithopod,Late Cretaceous,76.0,74.0,Canada
patagosaurus,sauropod,Mid Jurassic,164.0,159.0,Argentina
pelicanimimus,small theropod,Early Cretaceous,127.0,121.0,Spain
pelorosaurus,sauropod,Early Cretaceous,125.0,125.0,United Kingdom
pentaceratops,ceratopsian,Late Cretaceous,76.0,74.0,USA
piatnitzkysaurus,large theropod,Late Jurassic,164.0,159.0,Argentina
pinacosaurus,armoured dinosaur,Late Cretaceous,81.0,75.0,Mongolia
plateosaurus,sauropod,Late Triassic,210.0,210.0,Switzerland
podokesaurus,small theropod,Mid Jurassic,195.0,180.0,USA
poekilopleuron,large theropod,Mid Jurassic,169.0,164.0,France
polacanthus,armoured dinosaur,Early Cretaceous,125.0,125.0,United Kingdom
prenocephale,euornithopod,Late Cretaceous,80.0,65.0,Mongolia
probactrosaurus,euornithopod,Early Cretaceous,121.0,99.0,China
proceratosaurus,small theropod,Mid Jurassic,169.0,164.0,United Kingdom
procompsognathus,small theropod,Late Triassic,221.0,210.0,Germany
prosaurolophus,euornithopod,Late Cretaceous,77.0,75.0,USA
protarchaeopteryx,small theropod,Early Cretaceous,122.0,120.0,China
protoceratops,ceratopsian,Late Cretaceous,74.0,70.0,Mongolia
protohadros,euornithopod,Late Cretaceous,99.0,94.0,USA
psittacosaurus,ceratopsian,Early Cretaceous,120.0,100.0,Russia
quaesitosaurus,sauropod,Late Cretaceous,86.0,84.0,Mongolia
rebbachisaurus,sauropod,Early Cretaceous,112.0,99.0,Morocco
rhabdodon,euornithopod,Late Cretaceous,76.0,70.0,Spain
rhoetosaurus,sauropod,Mid Jurassic,177.0,169.0,Australia
rinchenia,small theropod,Late Cretaceous,72.0,68.0,Mongolia
riojasaurus,sauropod,Late Triassic,221.0,210.0,Argentina
rugops,large theropod,Late Cretaceous,95.0,95.0,Niger
saichania,armoured dinosaur,Late Cretaceous,80.0,80.0,Mongolia
saltasaurus,sauropod,Late Cretaceous,70.0,65.0,Argentina
saltopus,small theropod,Late Triassic,221.0,210.0,United Kingdom
sarcosaurus,small theropod,Early Jurassic,202.0,195.0,United Kingdom
saurolophus,euornithopod,Late Cretaceous,74.0,70.0,Mongolia
sauropelta,armoured dinosaur,Early Cretaceous,121.0,94.0,USA
saurophaganax,large theropod,Late Jurassic,154.0,142.0,USA
saurornithoides,small theropod,Late Cretaceous,85.0,80.0,Mongolia
scelidosaurus,armoured dinosaur,Early Jurassic,208.0,194.0,United Kingdom
scutellosaurus,armoured dinosaur,Early Jurassic,205.0,202.0,USA
secernosaurus,euornithopod,Late Cretaceous,71.0,65.0,Argentina
segisaurus,small theropod,Mid Jurassic,195.0,180.0,USA
segnosaurus,large theropod,Late Cretaceous,97.0,88.0,Mongolia
shamosaurus,armoured dinosaur,Early Cretaceous,121.0,99.0,Mongolia
shanag,small theropod,Early Cretaceous,126.0,142.0,Mongolia
shantungosaurus,euornithopod,Late Cretaceous,78.0,74.0,China
shunosaurus,sauropod,Mid Jurassic,170.0,160.0,China
shuvuuia,small theropod,Late Cretaceous,75.0,81.0,Mongolia
silvisaurus,armoured dinosaur,Early Cretaceous,121.0,112.0,USA
sinocalliopteryx,small theropod,Early Cretaceous,125.0,125.0,China
sinornithosaurus,small theropod,Early Cretaceous,122.0,120.0,China
sinosauropteryx,small theropod,Early Cretaceous,122.0,120.0,China
sinovenator,small theropod,Early Cretaceous,127.0,121.0,China
sinraptor,large theropod,Mid Jurassic,169.0,142.0,China
sonidosaurus,sauropod,Late Cretaceous,89.0,65.0,China
spinosaurus,large theropod,Late Cretaceous,95.0,70.0,Morocco
staurikosaurus,large theropod,Late Triassic,227.0,221.0,Brazil
stegoceras,euornithopod,Late Cretaceous,76.0,74.0,USA
stegosaurus,armoured dinosaur,Late Jurassic,155.0,145.0,USA
stenopelix,ceratopsian,Early Cretaceous,127.0,121.0,Germany
struthiomimus,small theropod,Late Cretaceous,76.0,74.0,Canada
struthiosaurus,armoured dinosaur,Late Cretaceous,83.0,75.0,Spain
styracosaurus,ceratopsian,Late Cretaceous,76.0,70.0,USA
suchomimus,large theropod,Early Cretaceous,121.0,112.0,Niger
supersaurus,sauropod,Early Cretaceous,154.0,142.0,USA
talarurus,armoured dinosaur,Late Cretaceous,99.0,89.0,Mongolia
tanius,euornithopod,Late Cretaceous,89.0,65.0,China
tarbosaurus,large theropod,Late Cretaceous,74.0,70.0,Mongolia
tarchia,armoured dinosaur,Late Cretaceous,75.0,68.0,Mongolia
telmatosaurus,euornithopod,Late Cretaceous,84.0,65.0,Spain
tenontosaurus,euornithopod,Early Cretaceous,120.0,110.0,USA
thecodontosaurus,sauropod,Late Triassic,227.0,205.0,United Kingdom
therizinosaurus,large theropod,Late Cretaceous,85.0,70.0,Mongolia
thescelosaurus,euornithopod,Late Cretaceous,76.0,67.0,USA
torosaurus,ceratopsian,Late Cretaceous,70.0,65.0,USA
torvosaurus,large theropod,Late Jurassic,155.0,144.0,USA
triceratops,ceratopsian,Late Cretaceous,68.0,66.0,USA
troodon,small theropod,Late Cretaceous,74.0,65.0,USA
tsagantegia,armoured dinosaur,Late Cretaceous,99.0,84.0,Mongolia
tsintaosaurus,euornithopod,Late Cretaceous,84.0,71.0,China
tuojiangosaurus,armoured dinosaur,Late Jurassic,157.0,154.0,China
tylocephale,euornithopod,Late Cretaceous,75.0,72.0,Mongolia
tyrannosaurus,large theropod,Late Cretaceous,68.0,66.0,USA
udanoceratops,ceratopsian,Late Cretaceous,81.0,75.0,Mongolia
unenlagia,small theropod,Late Cretaceous,94.0,86.0,Argentina
urbacodon,small theropod,Late Cretaceous,95.0,95.0,Uzbekistan
utahraptor,large theropod,Early Cretaceous,112.0,100.0,USA
valdosaurus,euornithopod,Early Cretaceous,142.0,121.0,United Kingdom
velociraptor,small theropod,Late Cretaceous,74.0,70.0,Mongolia
vulcanodon,sauropod,Early Jurassic,205.0,202.0,Zimbabwe
yandusaurus,euornithopod,Mid Jurassic,169.0,159.0,China
yangchuanosaurus,large theropod,Late Jurassic,160.0,144.0,China
yimenosaurus,sauropod,Early Jurassic,195.0,190.0,China
yingshanosaurus,armoured dinosaur,Late Jurassic,159.0,142.0,China
yinlong,ceratopsian,Mid Jurassic,159.0,154.0,China
yuanmousaurus,sauropod,Mid Jurassic,180.0,159.0,China
yunnanosaurus,sauropod,Early Jurassic,205.0,190.0,China
zalmoxes,euornithopod,Late Cretaceous,69.0,69.0,Romania
zephyrosaurus,euornithopod,Early Cretaceous,120.0,110.0,USA
zuniceratops,ceratopsian,Late Cretaceous,94.0,89.0,USA
